"ref","part_number","part_name","description","parent","hierarchy","loc_x","loc_y","loc_z","rot_x","rot_y","rot_z"
"Raised Cheese Head Screw DIN 7985 - M4 x 18 - H Steel 4.6 Plain v1:4","DIN 7985 - M4x18-H H Steel 4.6 Plain","Raised Cheese Head Screw DIN 7985 - M4 x 18 - H Steel 4.6 Plain v1","Raised Cheese Head Screw DIN 7985 - M4 x 18 - H","","Raised Cheese Head Screw DIN 7985 - M4 x 18 - H Steel 4.6 Plain v1:4",177.545388855255,-107.81395602447,20.2555009048756,179.99999999999997,1.2401057004010444e-14,-1.1051892442345354e-14
"cnc_milled_som_heatsink_cu:1","C-JAT-SH-CU-N","cnc_milled_som_heatsink_cu","Facilitates heat dissipation from the module to maintain optimal operating temperatures - use high purity copper for best thermal performance","","cnc_milled_som_heatsink_cu:1",0.0,0.0,0.0,0.0,-0.0,0.0
"cots_Mentor_1282.1200 v6:1","1282.1200","cots_Mentor_1282.1200 v6","Transparent plastic light pipe panel-mounted","Lightguides","Lightguides/cots_Mentor_1282.1200 v6:1",242.191532,-121.711,1.40600000000009,-90.00000000000072,1.2722218725854067e-14,90.0
"cots_Mentor_1282.1200 v6:2","1282.1200","cots_Mentor_1282.1200 v6","Transparent plastic light pipe panel-mounted","Lightguides","Lightguides/cots_Mentor_1282.1200 v6:2",242.191532,-134.324,1.40600000000009,-90.00000000000074,1.2722218725854067e-14,90.0
"cots_Mentor_1282.1200 v6:4","1282.1200","cots_Mentor_1282.1200 v6","Transparent plastic light pipe panel-mounted","Lightguides","Lightguides/cots_Mentor_1282.1200 v6:4",242.191532,-95.711,1.40600000000009,-90.00000000000077,1.2722218725854067e-14,90.0
"cots_Mentor_1282.1200 v6:3","1282.1200","cots_Mentor_1282.1200 v6","Transparent plastic light pipe panel-mounted","Lightguides","Lightguides/cots_Mentor_1282.1200 v6:3",242.191532,-108.711,1.40600000000009,-90.00000000000074,1.2722218725854067e-14,90.0
"cots_Mentor_1282.1200 v6:5","1282.1200","cots_Mentor_1282.1200 v6","Transparent plastic light pipe panel-mounted","Lightguides","Lightguides/cots_Mentor_1282.1200 v6:5",242.191532,-82.711,1.40600000000009,-90.00000000000077,1.2722218725854067e-14,90.0
"cnc_milled_back_panel_al:1","C-JAT-BP-AL-A","cnc_milled_back_panel_al","Rear panel with vertical ribs for air exhaust","","cnc_milled_back_panel_al:1",1.54441473925049,0.229092285515584,1.55431223447522e-13,6.361109362927053e-15,3.180554681463515e-15,2.206953149025084e-31
"cots_Elesa_Ganter_GN_425-8-88-BT v4:1","GN 425-6-88-BT","cots_Elesa_Ganter_GN_425-8-88-BT v4","Grip for carrying the enclosure and enabling stacking and clustering","","cots_Elesa_Ganter_GN_425-8-88-BT v4:1",241.930532,-103.71,33.1417375326136,2.9817700138788055e-16,1.4908850069360001e-15,-90.00000000000003
"cots_Sunon_EF50151BX-1B000-A99 v7:1","EF50151BX-1B000-A99","cots_Sunon_EF50151BX-1B000-A99 v7","12V DC blower fan for enclosure airflow - 50x50x15mm","","cots_Sunon_EF50151BX-1B000-A99 v7:1",220.570850515537,-153.674404950236,35.2555009048757,-89.99999999999989,-7.887775610029521e-13,89.99999999999994
"cots_Sunon_EF50151BX-1B000-A99 v7:2","EF50151BX-1B000-A99","cots_Sunon_EF50151BX-1B000-A99 v7","12V DC blower fan for enclosure airflow - 50x50x15mm","","cots_Sunon_EF50151BX-1B000-A99 v7:2",220.570850515537,-101.174404950236,35.2555009048766,-89.99999999999983,-7.887775610029521e-13,89.99999999999994
"3d_printed_fan_shroud_pc:1","P-JAT-FS-PC-N","3d_printed_fan_shroud_pc","Directs internal airflow to improve thermal management efficiency","","3d_printed_fan_shroud_pc:1",0.0,0.0,0.0,0.0,-0.0,0.0
